variant,seed,episode,day,scale,reward,cumulative_reward,decisions,switches,wall_s
pg_elapsed,0,1,0507,0.72,-5662508,-5662508,55696,5582,414.9
pg_elapsed,0,2,0507,0.59,-1476557,-7139065,63594,4146,27.2
pg_elapsed,0,3,0506,1.23,-2006166,-9145231,53036,6066,442.3
pg_elapsed,0,4,0505,1.20,-1275565,-10420796,35049,9336,42.7
pg_elapsed,0,5,0506,0.57,-396006,-10816802,24430,11268,25.7
pg_elapsed,0,6,0507,0.66,-401727,-11218529,37151,8954,32.3
pg_elapsed,0,7,0507,0.63,-325220,-11543749,31454,9990,30.6
pg_elapsed,0,8,0507,0.93,-610470,-12154219,41869,8096,41.0
pg_elapsed,0,9,0505,1.03,-663100,-12817319,44540,7611,47.9
pg_elapsed,0,10,0506,0.63,-404276,-13221595,28842,10466,43.2
pg_elapsed,0,11,0507,0.55,-257774,-13479369,29807,10290,40.2
pg_elapsed,0,12,0507,0.75,-403569,-13882938,35975,9168,48.7
pg_elapsed,0,13,0506,1.26,-3788929,-17671867,51092,6420,428.9
pg_elapsed,0,14,0507,1.03,-702041,-18373908,45508,7435,58.2
pg_elapsed,0,15,0507,1.01,-674211,-19048119,46916,7179,60.7
pg_elapsed,0,16,0505,1.08,-688353,-19736472,46075,7332,63.4
pg_elapsed,0,17,0507,0.50,-235522,-19971994,38348,8737,53.5
pg_elapsed,0,18,0506,0.54,-290688,-20262682,41007,8254,58.9
pg_elapsed,0,19,0506,0.51,-274288,-20536970,40228,8395,57.9
pg_elapsed,0,20,0505,1.16,-814102,-21351072,45838,7375,72.2
pg_elapsed,5,1,0507,1.15,-3926785,-3926785,64352,4009,100.2
pg_elapsed,5,2,0507,0.71,-2031128,-5957913,56840,5374,34.6
pg_elapsed,5,3,0505,1.06,-2054537,-8012450,44894,7546,240.0
pg_elapsed,5,4,0507,0.89,-1042716,-9055166,24446,11264,33.0
pg_elapsed,5,5,0505,0.52,-290025,-9345191,25511,11071,25.8
pg_elapsed,5,5,0505,0.52,-290025,-9635216,25511,11071,37.5
pg_elapsed,5,6,0506,0.93,-866980,-10502196,48729,6850,53.5
pg_elapsed,5,7,0506,0.66,-484420,-10986616,35657,9226,46.2
pg_elapsed,5,8,0507,0.54,-253860,-11240476,32465,9806,46.8
pg_elapsed,5,9,0506,0.78,-505859,-11746335,39139,8593,58.3
pg_elapsed,5,10,0505,1.13,-621587,-12367922,32598,9782,59.2
pg_elapsed,5,11,0506,1.14,-1300564,-13668486,36768,9024,101.7
pg_elapsed,5,12,0505,0.73,-335728,-14004214,33916,9542,66.9
pg_elapsed,5,13,0506,0.87,-640026,-14644240,29769,10296,76.3
pg_elapsed,5,14,0506,0.67,-401355,-15045595,25614,11052,61.4
pg_elapsed,5,15,0505,1.09,-600642,-15646237,31375,10005,87.8
pg_elapsed,5,16,0505,0.63,-272518,-15918755,29910,10271,84.9
pg_elapsed,5,17,0506,0.53,-275943,-16194698,23627,11414,82.0
pg_elapsed,5,18,0505,1.26,-790493,-16985191,32912,9726,104.9
pg_elapsed,5,19,0505,1.08,-590094,-17575285,34565,9424,95.4
pg_elapsed,5,20,0505,0.76,-352458,-17927743,24705,11218,82.7
pg_elapsed,6,1,0506,0.77,-3788481,-3788481,51395,6364,210.7
pg_elapsed,6,2,0505,0.63,-1013298,-4801779,41055,8245,80.0
pg_elapsed,6,3,0506,0.51,-474426,-5276205,31307,10017,32.1
pg_elapsed,6,4,0507,0.80,-597756,-5873961,38028,8795,43.4
pg_elapsed,6,5,0505,0.77,-398482,-6272443,24366,11280,42.4
pg_elapsed,6,6,0506,1.30,-1662415,-7934858,39986,8439,86.8
pg_elapsed,6,7,0506,0.92,-875580,-8810438,31447,9992,60.1
pg_elapsed,6,8,0506,1.28,-1506976,-10317414,49096,6783,158.6
pg_elapsed,6,9,0507,0.63,-297550,-10614964,34708,9398,53.2
pg_elapsed,6,10,0506,0.76,-504735,-11119699,29195,10401,62.5
pg_elapsed,6,11,0507,0.56,-250575,-11370274,24375,11278,62.1
pg_elapsed,6,12,0507,0.52,-242733,-11613007,30636,10140,62.5
pg_elapsed,6,13,0507,1.17,-789405,-12402412,40603,8327,86.8
pg_elapsed,6,14,0506,0.69,-427488,-12829900,27063,10788,72.3
pg_elapsed,6,15,0507,0.58,-265540,-13095440,27694,10674,60.5
pg_elapsed,6,16,0507,0.82,-448950,-13544390,33877,9550,81.9
pg_elapsed,6,17,0506,0.67,-398266,-13942656,27666,10680,92.9
pg_elapsed,6,18,0505,0.62,-261369,-14204025,23884,11367,92.3
pg_elapsed,6,19,0507,0.62,-296400,-14500425,28979,10440,90.0
pg_elapsed,6,20,0505,1.14,-683975,-15184400,32220,9851,109.6
pg_elapsed,7,1,0507,1.22,-3311833,-3311833,70357,2917,80.6
pg_elapsed,7,2,0506,0.61,-1215421,-4527254,56103,5508,37.9
pg_elapsed,7,3,0507,0.65,-579136,-5106390,29186,10402,34.5
pg_elapsed,7,4,0505,1.20,-875770,-5982160,42593,7965,49.0
pg_elapsed,7,5,0507,0.50,-211784,-6193944,25939,10994,37.9
pg_elapsed,7,6,0507,1.29,-991032,-7184976,46123,7324,62.8
pg_elapsed,7,7,0507,1.20,-794029,-7979005,41394,8183,65.9
pg_elapsed,7,8,0506,0.64,-344959,-8323964,38658,8680,57.0
pg_elapsed,7,9,0507,0.52,-230639,-8554603,34997,9346,64.7
pg_elapsed,7,10,0507,0.57,-247359,-8801962,34341,9466,69.8
pg_elapsed,7,11,0506,0.71,-410063,-9212025,38918,8634,77.8
pg_elapsed,7,12,0507,1.19,-757983,-9970008,41625,8141,90.3
pg_elapsed,7,13,0506,1.00,-847261,-10817269,43253,7845,99.5
pg_elapsed,7,14,0506,0.71,-416582,-11233851,38389,8730,93.2
pg_elapsed,7,15,0505,1.21,-708691,-11942542,41636,8139,98.7
pg_elapsed,7,16,0506,0.55,-279551,-12222093,36085,9148,94.6
pg_elapsed,7,17,0505,0.63,-267497,-12489590,35283,9294,106.1
pg_elapsed,7,18,0507,1.14,-708551,-13198141,40544,8338,117.8
pg_elapsed,7,19,0507,1.15,-717334,-13915475,40123,8414,132.6
pg_elapsed,7,20,0506,0.93,-722667,-14638142,41141,8229,120.2
pg_elapsed,8,1,0507,1.29,-3574300,-3574300,47061,7152,520.0
pg_elapsed,8,2,0507,1.23,-1949756,-5524056,38402,8727,163.4
pg_elapsed,8,3,0505,1.16,-1233678,-6757734,36919,8996,110.5
pg_elapsed,8,4,0505,0.65,-717947,-7475681,37787,8839,41.1
pg_elapsed,8,5,0505,0.65,-451211,-7926892,43717,7760,42.3
pg_elapsed,8,6,0505,1.00,-767978,-8694870,30705,10126,55.4
pg_elapsed,8,7,0506,1.26,-1688251,-10383121,38625,8686,350.3
pg_elapsed,8,8,0506,0.68,-603266,-10986387,27153,10772,59.9
pg_elapsed,8,9,0505,0.92,-680835,-11667222,29118,10415,66.8
pg_elapsed,8,10,0506,0.98,-1150131,-12817353,32017,9888,144.8
pg_elapsed,8,11,0505,0.95,-710722,-13528075,29593,10329,80.1
pg_elapsed,8,12,0506,1.17,-1554411,-15082486,35572,9242,252.3
pg_elapsed,8,13,0505,0.87,-613678,-15696164,27745,10665,73.4
pg_elapsed,8,14,0507,0.76,-583242,-16279406,25829,11014,76.5
pg_elapsed,8,15,0505,1.02,-808288,-17087694,30154,10227,82.4
pg_elapsed,8,16,0507,1.00,-894626,-17982320,30957,10081,106.8
pg_elapsed,8,17,0505,0.63,-368749,-18351069,31054,10064,87.2
pg_elapsed,8,18,0505,0.52,-267260,-18618329,22257,11662,86.0
pg_elapsed,8,19,0507,0.57,-361310,-18979639,22715,11580,81.2
pg_elapsed,8,20,0505,0.59,-318209,-19297848,22932,11540,91.5
pg_elapsed,9,1,0506,0.73,-4742654,-4742654,72768,2478,686.9
pg_elapsed,9,2,0505,0.73,-932961,-5675615,62536,4339,38.6
pg_elapsed,9,3,0507,0.88,-1732789,-7408404,42465,7988,308.5
pg_elapsed,9,4,0506,0.95,-927603,-8336007,40395,8364,40.3
pg_elapsed,9,5,0505,0.81,-379858,-8715865,38704,8672,49.5
pg_elapsed,9,6,0507,0.84,-463815,-9179680,40846,8283,55.5
pg_elapsed,9,7,0507,0.91,-510351,-9690031,41639,8138,48.6
pg_elapsed,9,8,0507,0.75,-371517,-10061548,38630,8686,64.8
pg_elapsed,9,9,0505,1.04,-570226,-10631774,43684,7766,73.6
pg_elapsed,9,10,0507,1.09,-675468,-11307242,42244,8028,78.2
pg_elapsed,9,11,0505,0.92,-465031,-11772273,41119,8233,74.8
pg_elapsed,9,12,0507,0.72,-356621,-12128894,36235,9122,61.4
pg_elapsed,9,13,0506,1.02,-940395,-13069289,45031,7522,107.2
pg_elapsed,9,14,0505,1.08,-660431,-13729720,41999,8074,109.4
pg_elapsed,9,15,0506,1.11,-1182076,-14911796,46001,7346,138.7
pg_elapsed,9,16,0507,1.08,-672852,-15584648,41285,8203,113.8
pg_elapsed,9,17,0506,0.71,-440481,-16025129,39694,8492,114.6
pg_elapsed,9,18,0506,0.74,-458472,-16483601,39666,8498,113.9
pg_elapsed,9,19,0506,1.28,-1612424,-18096025,48775,6841,218.6
pg_elapsed,9,20,0507,0.54,-255029,-18351054,34684,9403,92.1
pg_elapsed,10,1,0507,0.67,-4689441,-4689441,60899,4636,276.7
pg_elapsed,10,2,0506,1.09,-2260657,-6950098,63449,4173,281.6
pg_elapsed,10,3,0505,1.00,-1817599,-8767697,37876,8822,89.1
pg_elapsed,10,4,0506,0.65,-701011,-9468708,36463,9080,49.3
pg_elapsed,10,5,0505,0.82,-651196,-10119904,29452,10354,56.5
pg_elapsed,10,6,0506,0.99,-1108482,-11228386,43159,7862,119.6
pg_elapsed,10,7,0505,0.50,-302113,-11530499,30119,10233,54.4
pg_elapsed,10,8,0505,1.16,-933185,-12463684,32948,9719,80.4
pg_elapsed,10,9,0507,0.75,-634894,-13098578,24874,11187,55.0
pg_elapsed,10,10,0506,1.14,-1405570,-14504148,43650,7773,181.5
pg_elapsed,10,11,0506,0.73,-639124,-15143272,35522,9250,73.4
pg_elapsed,10,12,0507,0.54,-370237,-15513509,22551,11610,66.6
pg_elapsed,10,13,0506,0.63,-495586,-16009095,25690,11038,69.9
pg_elapsed,10,14,0507,1.19,-1144750,-17153845,34979,9350,123.9
pg_elapsed,10,15,0507,0.60,-417364,-17571209,22276,11659,77.2
pg_elapsed,10,16,0507,0.94,-782671,-18353880,29745,10301,87.6
pg_elapsed,10,17,0506,0.80,-753784,-19107664,37872,8824,91.8
pg_elapsed,10,18,0505,1.10,-851805,-19959469,37854,8826,82.3
pg_elapsed,10,19,0507,1.17,-1058808,-21018277,33834,9558,118.7
pg_elapsed,10,20,0507,1.00,-833601,-21851878,30248,10210,84.1
pg_elapsed,11,1,0505,0.90,-5343300,-5343300,58468,5078,949.4
pg_elapsed,11,2,0505,0.73,-2154699,-7497999,54771,5751,61.5
pg_elapsed,11,3,0507,1.06,-3198803,-10696802,65244,3846,739.8
pg_elapsed,11,4,0505,0.83,-782007,-11478809,30264,10206,46.1
pg_elapsed,11,5,0505,1.29,-2043718,-13522527,52845,6101,281.0
pg_elapsed,11,6,0505,1.07,-741958,-14264485,38116,8779,71.1
pg_elapsed,11,7,0507,1.23,-916329,-15180814,46112,7326,84.9
pg_elapsed,11,8,0505,0.92,-485198,-15666012,26148,10956,72.0
pg_elapsed,11,9,0507,0.62,-285485,-15951497,26124,10960,69.7
pg_elapsed,11,10,0506,0.75,-462912,-16414409,28797,10474,68.8
pg_elapsed,11,11,0507,0.67,-322035,-16736444,28207,10580,83.8
pg_elapsed,11,12,0507,1.17,-743605,-17480049,38913,8634,73.8
pg_elapsed,11,13,0505,1.14,-658629,-18138678,40836,8284,102.6
pg_elapsed,11,14,0507,1.28,-908406,-19047084,40954,8263,118.0
pg_elapsed,11,15,0506,0.56,-295109,-19342193,24088,11330,87.4
pg_elapsed,11,16,0507,0.86,-475847,-19818040,32702,9764,98.8
pg_elapsed,11,17,0506,1.16,-1282790,-21100830,36081,9149,145.9
pg_elapsed,11,18,0506,1.11,-1139147,-22239977,36838,9012,132.0
pg_elapsed,11,19,0507,1.25,-889167,-23129144,42188,8038,123.8
pg_elapsed,11,20,0506,1.14,-1241414,-24370558,37207,8944,123.9
pg_elapsed,12,1,0506,1.26,-2850373,-2850373,63889,4093,703.8
pg_elapsed,12,2,0505,0.72,-1551442,-4401815,47842,7010,80.5
pg_elapsed,12,3,0506,1.16,-5315096,-9716911,59156,4954,1460.1
pg_elapsed,12,4,0507,0.94,-1307725,-11024636,44311,7652,64.3
pg_elapsed,12,5,0506,1.14,-1729467,-12754103,47336,7103,213.3
pg_elapsed,12,6,0507,0.87,-670216,-13424319,35306,9290,64.7
pg_elapsed,12,7,0507,0.61,-346421,-13770740,39612,8507,62.6
pg_elapsed,12,8,0505,0.66,-331612,-14102352,37425,8904,47.5
pg_elapsed,12,9,0507,0.51,-243360,-14345712,30475,10168,61.0
pg_elapsed,12,10,0505,0.95,-550179,-14895891,40712,8307,74.4
pg_elapsed,12,11,0506,0.98,-935987,-15831878,34983,9349,88.8
pg_elapsed,12,12,0506,0.62,-380638,-16212516,28224,10578,65.0
pg_elapsed,12,13,0506,1.15,-1299609,-17512125,37423,8906,136.8
pg_elapsed,12,14,0507,0.80,-459397,-17971522,31254,10027,79.4
pg_elapsed,12,15,0506,0.57,-336903,-18308425,27589,10693,87.7
pg_elapsed,12,16,0507,1.17,-865720,-19174145,40140,8411,110.4
pg_elapsed,12,17,0507,1.21,-917417,-20091562,39543,8520,118.1
pg_elapsed,12,18,0505,0.70,-343872,-20435434,27268,10752,88.4
pg_elapsed,12,19,0507,1.05,-706111,-21141545,36954,8990,99.1
pg_elapsed,12,20,0506,0.58,-336570,-21478115,34978,9350,112.3
pg_elapsed,13,1,0507,1.18,-6685854,-6685854,73316,2379,866.9
pg_elapsed,13,2,0507,0.91,-3630895,-10316749,58284,5112,299.0
pg_elapsed,13,3,0505,1.14,-3443787,-13760536,45779,7386,341.6
pg_elapsed,13,4,0507,1.14,-1659116,-15419652,37686,8858,54.7
pg_elapsed,13,5,0507,1.07,-1393192,-16812844,34786,9384,59.8
pg_elapsed,13,6,0505,0.95,-1026938,-17839782,33848,9555,63.1
pg_elapsed,13,7,0505,0.70,-645369,-18485151,29594,10328,60.0
pg_elapsed,13,8,0507,0.66,-510300,-18995451,29164,10407,58.8
pg_elapsed,13,9,0505,1.02,-662314,-19657765,37467,8898,78.9
pg_elapsed,13,10,0506,1.07,-1328806,-20986571,43552,7790,89.8
pg_elapsed,13,11,0506,0.51,-304685,-21291256,33036,9703,68.5
pg_elapsed,13,12,0506,0.95,-920144,-22211400,39378,8550,83.6
pg_elapsed,13,13,0507,0.84,-494378,-22705778,32795,9746,70.8
pg_elapsed,13,14,0507,0.64,-319088,-23024866,31413,9998,86.9
pg_elapsed,13,15,0506,1.26,-1772645,-24797511,45887,7366,141.3
pg_elapsed,13,16,0507,0.81,-469443,-25266954,32363,9826,90.8
pg_elapsed,13,17,0506,0.65,-396643,-25663597,34937,9357,97.6
pg_elapsed,13,18,0507,1.16,-846042,-26509639,37211,8944,120.8
pg_elapsed,13,19,0505,0.52,-235212,-26744851,33275,9660,109.1
pg_elapsed,13,20,0505,1.30,-990984,-27735835,39986,8439,134.6
pg_elapsed,14,1,0505,0.79,-4212818,-4212818,59711,4852,352.3
pg_elapsed,14,2,0507,0.55,-594157,-4806975,38628,8686,32.7
pg_elapsed,14,3,0505,1.05,-4632548,-9439523,62756,4299,815.4
pg_elapsed,14,4,0506,1.00,-2972485,-12412008,56695,5401,304.8
pg_elapsed,14,5,0506,0.91,-1827829,-14239837,55463,5625,550.6
pg_elapsed,14,6,0506,0.64,-401199,-14641036,42022,8069,59.6
pg_elapsed,14,7,0507,0.77,-450807,-15091843,45684,7403,54.8
pg_elapsed,14,8,0506,1.02,-1002137,-16093980,46820,7196,81.4
pg_elapsed,14,9,0505,0.56,-226913,-16320893,37347,8919,71.4
pg_elapsed,14,10,0505,0.97,-495680,-16816573,41130,8231,85.7
pg_elapsed,14,11,0506,1.23,-1464897,-18281470,49500,6710,132.2
pg_elapsed,14,12,0505,0.64,-268491,-18549961,35974,9168,87.4
pg_elapsed,14,13,0507,0.94,-533484,-19083445,39040,8611,93.6
pg_elapsed,14,14,0507,1.17,-776597,-19860042,42131,8049,106.1
pg_elapsed,14,15,0505,0.96,-502776,-20362818,39721,8488,105.2
pg_elapsed,14,16,0506,1.29,-1577380,-21940198,49270,6751,190.0
pg_elapsed,14,17,0507,0.73,-354421,-22294619,34760,9390,106.1
pg_elapsed,14,18,0506,1.25,-1490494,-23785113,47840,7011,226.1
pg_elapsed,14,19,0506,1.23,-1412101,-25197214,47833,7012,214.3
pg_elapsed,14,20,0506,0.74,-451811,-25649025,28786,10476,133.5
pg_elapsed,15,1,0507,1.15,-6921659,-6921659,55927,5540,1512.9
pg_elapsed,15,2,0507,0.53,-2224827,-9146486,49822,6650,63.6
pg_elapsed,15,3,0507,0.70,-670048,-9816534,47290,7111,45.3
pg_elapsed,15,4,0507,0.81,-1497318,-11313852,23596,11419,60.0
pg_elapsed,15,5,0507,0.77,-480533,-11794385,42661,7953,53.8
pg_elapsed,15,6,0507,1.27,-1336836,-13131221,45757,7390,95.2
pg_elapsed,15,7,0507,0.78,-419459,-13550680,42538,7975,58.6
pg_elapsed,15,8,0506,0.94,-912913,-14463593,48720,6851,73.2
pg_elapsed,15,9,0506,0.82,-560590,-15024183,42153,8045,65.7
pg_elapsed,15,10,0505,0.96,-491731,-15515914,41856,8099,78.9
pg_elapsed,15,11,0505,0.96,-496701,-16012615,42505,7981,85.3
pg_elapsed,15,12,0505,1.29,-874293,-16886908,45464,7443,102.0
pg_elapsed,15,13,0505,0.92,-466343,-17353251,41504,8163,94.1
pg_elapsed,15,14,0507,1.10,-670652,-18023903,41306,8199,110.2
pg_elapsed,15,15,0506,0.65,-365250,-18389153,38864,8643,104.5
pg_elapsed,15,16,0505,0.98,-504001,-18893154,41570,8151,111.7
pg_elapsed,15,17,0505,1.02,-532708,-19425862,41526,8159,110.3
pg_elapsed,15,18,0507,0.87,-461451,-19887313,37346,8919,109.6
pg_elapsed,15,19,0507,0.67,-326993,-20214306,35762,9207,111.4
pg_elapsed,15,20,0506,0.55,-282069,-20496375,40107,8418,112.7
pg_elapsed,16,1,0506,0.84,-3258983,-3258983,72546,2519,118.7
pg_elapsed,16,2,0506,1.03,-2069467,-5328450,57432,5267,263.9
pg_elapsed,16,3,0507,0.71,-771846,-6100296,24247,11300,36.1
pg_elapsed,16,4,0506,1.23,-1531962,-7632258,47114,7143,178.0
pg_elapsed,16,5,0507,1.20,-1025511,-8657769,40197,8400,72.3
pg_elapsed,16,6,0505,0.62,-323513,-8981282,21181,11858,33.5
pg_elapsed,16,7,0506,0.82,-639091,-9620373,27945,10628,57.2
pg_elapsed,16,8,0506,1.28,-1577491,-11197864,39108,8599,215.5
pg_elapsed,16,9,0507,1.09,-786066,-11983930,31562,9971,72.0
pg_elapsed,16,10,0507,0.98,-645394,-12629324,29213,10398,56.2
pg_elapsed,16,11,0507,0.57,-291810,-12921134,21990,11712,53.8
pg_elapsed,16,12,0506,0.64,-408073,-13329207,25556,11062,66.6
pg_elapsed,16,13,0505,1.22,-862991,-14192198,31677,9950,86.8
pg_elapsed,16,14,0507,1.19,-889096,-15081294,33419,9634,91.8
pg_elapsed,16,15,0506,0.74,-522547,-15603841,24890,11184,81.5
pg_elapsed,16,16,0506,1.09,-1193881,-16797722,33920,9542,149.7
pg_elapsed,16,17,0505,1.19,-806328,-17604050,30680,10132,98.5
pg_elapsed,16,18,0505,1.02,-610580,-18214630,27502,10709,81.1
pg_elapsed,16,19,0506,0.63,-407360,-18621990,23553,11427,90.5
pg_elapsed,16,20,0505,1.13,-756845,-19378835,35725,9214,104.8
pg_elapsed,17,1,0507,0.63,-3348819,-3348819,28035,10612,179.9
pg_elapsed,17,2,0505,0.77,-1714617,-5063436,21097,11874,57.2
pg_elapsed,17,3,0505,0.51,-668187,-5731623,33133,9685,22.5
pg_elapsed,17,4,0505,1.19,-1587803,-7319426,49325,6741,130.4
pg_elapsed,17,5,0507,1.11,-2045344,-9364770,29210,10398,153.7
pg_elapsed,17,6,0506,1.03,-1434809,-10799579,38829,8650,189.4
